Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Portugal,I have little or no experience with GIS,Advanced,Yes,Less than 1 year,1 time per day,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps;Google Maps;OSMAnd,,,4,3,3,5,4,4,4,4,4,4,4,4,4,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Very confusing,Confusing,Neutral - Neither complicated nor simple,Very complicated,Complicated,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Neither agree nor disagree
Deutsch,35-44 years old,Master's Degree,Germany,I have little or no experience with GIS,Advanced,Yes,More than 10 years,2 times per week,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community;Humanitarian,To see the rendered data;To check the history of edits and comments;Read diary entries,1 time a week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd,,,5,4,5,5,4,3,4,3,4,5,3,3,3,4,4,Precise,Neutral - Neither confusing nor clear,Clear,Clear,Simple,Very Simple,Simple,Complicated,Strongly agree,More or less agree,More or less agree
English (United Kingdom)‎,25-34 years old,Master's Degree,Romania,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time a week,Collaborative map,1 time a week,1 time a week,Yes,1 time a month,OSMAnd,GeoJSON / JSON / XML,Overpass Turbo,3,2,4,3,4,4,4,1,3,1,1,1,1,3,3,Imprecise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Simple,Strongly agree,Strongly agree,More or less agree
Italiano,45-54 years old,Doctorate/PhD,Italy,Working with GIS,Intermediary,Yes,5 to 10 years,More than once a day,Work,I use it for work,Corporate (work);Government,To see the rendered data;To edit;Read diary entries,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,More than once a day,Google Maps;Strava,GeoJSON / JSON / XML;.OSM / .PBF,GeoFabrik;Overpass Turbo;APIs and/or Plugins,4,4,4,3,3,3,2,2,2,2,4,4,3,1,1,Neutral - Neither imprecise nor precise,Clear,Neutral - Neither confusing nor clear,Confusing,Neutral - Neither complicated nor simple,Complicated,Complicated,Complicated,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,Under 18 years old,High School,Kazakhstan,I have no experience with GIS or work,Basic,Yes,Less than 1 year,1 time per day,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit,I can't remember or I don't use it,Geographic database,1 time a month,1 time a week,No,,2Gis;OSMAnd;Yandex Maps;Google Maps,,,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,Precise,Clear,Clear,Clear,Very Simple,Very Simple,Simple,Simple,More or less agree,More or less agree,Strongly agree
"Español (España, alfabetización internacional)",25-34 years old,Master's Degree,Spain,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time a month ,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit;Add and edit Notes,2 times per week,Collaborative map,1 time a month,1 time a month,No,,Organic Maps,,,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Confusing,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Complicated,Strongly agree,More or less agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Germany,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,2 times per week,Work,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time a month,Collaborative map,1 time a week,2 times per week,No,,Organic Maps;Google Maps;OSMAnd,,,3,4,2,4,4,4,4,,3,3,,,,4,2,Precise,Neutral - Neither confusing nor clear,Confusing,Neutral - Neither confusing nor clear,Simple,Complicated,Complicated,Complicated,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,High School,Serbia,I have little or no experience with GIS,Intermediary,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;Read diary entries,2 times per week,Geographic database,1 time a week,1 time a month,Yes,1 time a month,Yandex Maps;Organic Maps;Google Maps,GeoJSON / JSON / XML,Overpass Turbo;APIs and/or Plugins,3,2,1,5,4,5,3,4,5,4,5,5,2,3,3,Imprecise,Very confusing,Very confusing,Very confusing,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Complicated,Neither agree nor disagree,More or less agree,More or less agree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Turkey,Working with GIS,Intermediary,Yes,1 to 5 years,1 time per day,Event or speech,I use it for navigation/GPS,Humanitarian;Hobbyist/community,To edit;To see the rendered data;To upload GPS traces,2 times per week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,More than once a day,Organic Maps;Google Maps,Shapefile;GeoJSON / JSON / XML;KML,Overpass Turbo;HOT Export Tool,4,3,3,4,2,3,2,3,,3,2,2,2,2,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Complicated,Complicated,Complicated,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Portugal,I have little or no experience with GIS,Intermediary,Yes,1 to 5 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit;Because other sites use osm,1 time a week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd;Google Maps;Waze,,,4,5,4,5,3,4,4,4,4,3,4,4,4,5,4,Precise,Clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Very Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,Strongly agree
English (United Kingdom)‎,65 years old or older,Doctorate/PhD,Spain,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,1 time per day,Web Search,I use it academically (school or college),Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,OSMAnd;Organic Maps,Shapefile;GeoJSON / JSON / XML;csv,Overpass Turbo,4,4,4,4,,,,,4,,4,,4,4,3,Precise,Clear,Neutral - Neither confusing nor clear,Clear,Simple,Simple,Simple,Simple,More or less agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,Under 18 years old,High School,United States,I have no experience with GIS or work,Advanced,No,1 to 5 years,1 time a month ,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To check the history of edits and comments;To see the rendered data,2 times per week,Wikipedia of maps,1 time a month,1 time a month,No,,Organic Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsch,25-34 years old,Master's Degree,Germany,I have little or no experience with GIS,Advanced,Yes,More than 10 years,1 time a week,I don't remember,I use it for work;I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;To edit,I can't remember or I don't use it,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,OSMAnd,.OSM / .PBF;PDF,Overpass Turbo,3,2,5,5,3,3,3,2,3,2,2,2,1,3,2,Imprecise,Very confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Neutral - Neither complicated nor simple,Very Simple,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Français (France),25-34 years old,Master's Degree,France,I have little or no experience with GIS,Advanced,Yes,5 to 10 years,1 time per day,Work,I use it for navigation/GPS;I use it for work,Humanitarian;Dev;Hobbyist/community,To see the rendered data;To check the history of edits and comments;Add and edit Notes,1 time a week,Geographic database,1 time a month,1 time a month,Yes,1 time a month,Organic Maps;OSMAnd,GeoJSON / JSON / XML;.OSM / .PBF,Overpass Turbo;GeoFabrik,4,1,3,5,5,4,4,4,4,3,3,3,2,5,3,Very imprecise,Very confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Very complicated,More or less agree,Neither agree nor disagree,More or less agree
English (United Kingdom)‎,18-24 years old,Master's Degree,Portugal,Working with GIS,Advanced,Yes,1 to 5 years,More than once a day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for work;I use it academically (school or college),Humanitarian;Corporate (work);Hobbyist/community,To see the rendered data;To edit,1 time a week,Collaborative map,1 time a month,1 time a month,Yes,1 time a month,Google Maps;Waze,Shapefile;GeoJSON / JSON / XML,GeoFabrik;Overpass Turbo;APIs and/or Plugins,5,1,3,3,2,1,1,1,2,3,1,1,1,3,2,Imprecise,Neutral - Neither confusing nor clear,Clear,Clear,Simple,Very complicated,Complicated,Complicated,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Brazil,Working with GIS,Advanced,Yes,More than 10 years,1 time per day,Event or speech,I use it for navigation/GPS;hobby,Corporate (work);Hobbyist/community;Dev,To edit;To see the rendered data,1 time a week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps;Google Maps,,,1,2,1,2,1,2,1,1,3,2,1,2,1,1,3,Imprecise,Very confusing,Neutral - Neither confusing nor clear,Very confusing,Neutral - Neither complicated nor simple,Complicated,Very Complicated,Very complicated,More or less agree,Strongly agree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Doctorate/PhD,Turkey,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,More than once a day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To edit;To check the history of edits and comments,2 times per week,Wikipedia of maps,2 times per week,1 time a week,Yes,2 times per week,OSMAnd;Organic Maps,GeoJSON / JSON / XML,GeoFabrik;Overpass Turbo,3,1,3,5,5,5,5,4,4,3,3,3,2,4,2,Very imprecise,Very confusing,Neutral - Neither confusing nor clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
English (United Kingdom)‎,45-54 years old,Undergraduate or Bachelor's degree,Israel,Working with GIS,Basic,Yes,1 to 5 years,1 time per day,Work,I use it for work,Government,To see the rendered data,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time per day,Waze;Google Maps,Shapefile,Qgis;CADMAPPER,5,4,3,4,1,4,4,4,4,1,1,1,1,5,1,Precise,Clear,Clear,Clear,Simple,Simple,Simple,Simple,More or less disagree,More or less disagree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,High School,Poland,I have no experience with GIS or work,Advanced,No,More than 10 years,1 time a week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To check the history of edits and comments;To see the rendered data,1 time a week,Geographic database,1 time a month,1 time a month,No,,Waze;Google Maps;OSMAnd,,,3,4,4,5,4,5,4,,5,,,,,4,,Precise,Neutral - Neither confusing nor clear,,,,,,Complicated,Strongly agree,More or less agree,More or less agree
Deutsch,55-64 years old,Undergraduate or Bachelor's degree,Germany,I have no experience with GIS or work,Advanced,Yes,5 to 10 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To check the history of edits and comments;To edit,2 times per week,Wikipedia of maps,1 time a month,1 time a week,Yes,1 time a month,OSMAnd;Mapy.cz,GeoJSON / JSON / XML,Overpass Turbo,4,2,4,5,4,4,4,4,3,2,4,3,4,4,3,Imprecise,Confusing,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Simple,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Serbia,I have no experience with GIS or work,Advanced,Yes,More than 10 years,1 time per day,I don't remember,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,2 times per week,Wikipedia of maps,I can't remember or I don't use it,1 time a month,No,,Waze;OSMAnd,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Precise,Clear,Very clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Simple,Simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,United Kingdom,I have no experience with GIS or work,Advanced,Yes,More than 10 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time per day,Geographic database,1 time a week,2 times per week,Yes,1 time a month,Magic Earth;OSMAnd;Apple Maps,PDF;JPG / PNG,Directly in OSM.org;Overpass Turbo,4,3,4,5,4,5,4,4,4,4,4,4,4,4,3,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,Neither agree nor disagree,More or less agree
English (United Kingdom)‎,65 years old or older,Undergraduate or Bachelor's degree,Belgium,I have no experience with GIS or work,Advanced,No,5 to 10 years,1 time a week,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data;To check the history of edits and comments,1 time a month,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;OSM,,,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1,Imprecise,Confusing,Clear,Clear,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Simple,More or less agree,More or less disagree,Neither agree nor disagree
Português (Brasil)‎,35-44 years old,Undergraduate or Bachelor's degree,Brazil,I have little or no experience with GIS,Basic,Yes,5 to 10 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community;Corporate (work),To see the rendered data;To edit;To check the history of edits and comments,1 time a week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,OSMAnd,Shapefile;GeoJSON / JSON / XML,Overpass Turbo,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Imprecise,Confusing,Confusing,Clear,Simple,Simple,Simple,Simple,More or less agree,Strongly agree,More or less agree
"Español (España, alfabetización internacional)",45-54 years old,Undergraduate or Bachelor's degree,Spain,I have little or no experience with GIS,Advanced,No,More than 10 years,1 time a month ,"Social Media (Facebook, X (Twitter), Instagram)",I use it for work;Como mapa personal,Hobbyist/community,To edit,1 time a month,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,4,3,5,,,,,,,,,,,,,,Confusing,Clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Very complicated,,Very complicated,Strongly agree,Neither agree nor disagree,Strongly agree
"Español (España, alfabetización internacional)",45-54 years old,Master's Degree,Spain,Working with GIS,Intermediary,No,More than 10 years,1 time a week,Through a friend or family member,I use it for work;I use it academically (school or college);Personal,Hobbyist/community;Humanitarian;Dev,To see the rendered data;To edit,1 time a month,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Google Maps;OSMAnd,GeoJSON / JSON / XML;.OSM / .PBF,Overpass Turbo,4,3,4,4,3,3,3,3,3,3,4,4,3,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Confusing,Confusing,Neutral - Neither complicated nor simple,Complicated,Complicated,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
English (United Kingdom)‎,55-64 years old,High School,Netherlands,I have no experience with GIS or work,Advanced,Yes,5 to 10 years,1 time per day,"News (Jornal, Blog etc.)",I use it for work,Humanitarian,To add data through the OSM =TM website (https://tasks.hotosm.org/) and to solve problems with the challenges on the maproulette website : https://maproulette.org/,I can't remember or I don't use it,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;OSMAnd,,,3,4,5,4,,3,1,,3,,,,,,,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,,Clear,Simple,,,Complicated,Strongly agree,,
English (United Kingdom)‎,45-54 years old,Master's Degree,Ireland,I have no experience with GIS or work,Native,Yes,1 to 5 years,1 time per day,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit;Add and edit Notes;To see the rendered data,1 time per day,Wikipedia of maps,1 time a month,1 time a month,No,,Maps.me;Apple Maps;Google Maps;OSMAnd,,,4,1,4,5,4,4,4,1,3,2,4,4,,3,4,Imprecise,Confusing,Clear,Neutral - Neither confusing nor clear,Simple,Very Simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,Strongly agree,Strongly agree
"Español (España, alfabetización internacional)",45-54 years old,Doctorate/PhD,Argentina,Working with GIS,Intermediary,Yes,5 to 10 years,More than once a day,Work,I use it academically (school or college);I use it for navigation/GPS;I use it for work,Corporate (work);Hobbyist/community;Government,To edit;To see the rendered data;To check the history of edits and comments,More than once a day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,2 times per week,OSMAnd,GeoJSON / JSON / XML,Overpass Turbo;Directly in OSM.org;APIs and/or Plugins,4,3,3,4,3,3,4,2,2,4,2,2,3,4,4,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Confusing,Simple,Simple,Neutral - Neither complicated nor simple,Complicated,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,Under 18 years old,High School,Poland,I have little or no experience with GIS,Intermediary,No,Less than 1 year,1 time per day,Other,I use it for navigation/GPS,Dev;Hobbyist/community,To edit;Read diary entries;Add and edit Notes,2 times per week,Geographic database,1 time a month,2 times per week,Yes,1 time a month,OSMAnd;mapy.cz,.OSM / .PBF,Directly in OSM.org;APIs and/or Plugins,4,3,5,4,2,2,,4,5,5,4,5,5,4,4,Precise,Neutral - Neither confusing nor clear,Very clear,Confusing,Very Simple,Complicated,Very Simple,Very Simple,Strongly agree,More or less agree,Neither agree nor disagree
"Español (España, alfabetización internacional)",35-44 years old,Undergraduate or Bachelor's degree,Spain,I have no experience with GIS or work,Intermediary,Yes,5 to 10 years,2 times per week,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community;Humanitarian,To upload GPS traces;To edit;Add basque toponyms,1 time a week,Wikipedia of maps,1 time a week,1 time a week,No,,Organic Maps;Google Maps,,,4,4,3,5,4,3,4,3,4,4,4,4,4,4,5,Precise,Clear,Neutral - Neither confusing nor clear,Confusing,Very Simple,Simple,Simple,Very Simple,Strongly agree,More or less agree,Strongly agree
English (United Kingdom)‎,45-54 years old,High School,Serbia,I have no experience with GIS or work,Intermediary,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;Add and edit Notes,1 time a week,Geographic database,1 time a month,1 time a week,Yes,More than once a day,OSMAnd;OruxMaps,GeoJSON / JSON / XML,Overpass Turbo,4,3,3,4,4,3,3,,4,4,4,4,4,4,4,Precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Very complicated,Strongly agree,Strongly agree,More or less agree
"Español (España, alfabetización internacional)",45-54 years old,High School,Spain,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To upload GPS traces;To see the rendered data,2 times per week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,I can't remember or I don't use it,OSMAnd;Organic Maps,GeoJSON / JSON / XML,Overpass Turbo;GeoFabrik,4,3,5,5,3,2,2,4,4,3,2,4,2,4,5,Neutral - Neither imprecise nor precise,Confusing,Clear,Clear,Simple,Complicated,Simple,Complicated,Strongly agree,Strongly agree,Neither agree nor disagree
Italiano,55-64 years old,Undergraduate or Bachelor's degree,Italy,I have no experience with GIS or work,Basic,Yes,More than 10 years,2 times per week,"News (Jornal, Blog etc.)",I use it for navigation/GPS,Hobbyist/community,To edit;Add and edit Notes,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;Organic Maps;Waze;OSMAnd,,,4,3,4,5,5,4,4,4,4,4,5,4,5,5,4,Precise,Very clear,Very clear,Very Clear,Very Simple,Simple,Simple,Simple,Strongly agree,Neither agree nor disagree,More or less agree
"Español (España, alfabetización internacional)",18-24 years old,High School,Argentina,I have little or no experience with GIS,Advanced,Yes,5 to 10 years,1 time per day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;Add and edit Notes;To edit,I can't remember or I don't use it,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;OSMAnd;Waze,,,4,3,4,5,5,5,5,5,5,4,5,5,5,4,4,Neutral - Neither imprecise nor precise,Clear,Clear,Very Clear,Simple,Simple,Simple,Very Simple,More or less agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Doctorate/PhD,Spain,I have little or no experience with GIS,Advanced,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,2 times per week,Wikipedia of maps,1 time a week,1 time a month,No,,OSMAnd;Organic Maps;Google Maps,,,4,3,3,5,5,,5,,,4,,,,4,,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Simple,Simple,Strongly agree,More or less disagree,More or less agree
English (United Kingdom)‎,18-24 years old,High School,United Kingdom,I have little or no experience with GIS,Native,Yes,Less than 1 year,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time a month,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps;Google Maps,,,4,3,4,5,,4,,,5,4,5,4,,4,,Precise,Neutral - Neither confusing nor clear,Confusing,Confusing,Simple,Neutral - Neither complicated nor simple,,Simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,65 years old or older,Master's Degree,Belgium,I have little or no experience with GIS,Intermediary,Yes,1 to 5 years,1 time a month ,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community,To edit;To check the history of edits and comments;Add and edit Notes,1 time per day,Wikipedia of maps,1 time a week,1 time a week,No,,Basecamp + Brouter>web,,,,,,,,,,,,,,,,,,,,,Confusing,Simple,Simple,,Complicated,Strongly agree,More or less agree,Neither agree nor disagree
"Español (España, alfabetización internacional)",25-34 years old,Undergraduate or Bachelor's degree,Argentina,Working with GIS,Advanced,Yes,5 to 10 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community;Government;Corporate (work),To see the rendered data;To edit;Add and edit Notes,More than once a day,Geographic database,1 time a week,1 time a month,Yes,1 time a week,OSMAnd,GeoJSON / JSON / XML,Overpass Turbo,3,4,4,5,5,5,2,3,4,4,3,3,5,3,4,Precise,Clear,Clear,Clear,Simple,Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Colombia,I am a GIS student,Advanced,Yes,Less than 1 year,2 times per week,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Humanitarian;Hobbyist/community;YouthMappers,To see the rendered data;To check the history of edits and comments;To upload GPS traces,1 time a month,Collaborative map,1 time a month,1 time a month,Yes,1 time a month,OSMAnd;Google Maps,GeoJSON / JSON / XML;Shapefile,Directly in OSM.org;Overpass Turbo,5,3,4,5,5,5,4,3,4,4,5,5,5,5,5,Neutral - Neither imprecise nor precise,Very clear,Clear,Clear,Very Simple,Simple,Complicated,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,18-24 years old,High School,Poland,I have little or no experience with GIS,Advanced,Yes,Less than 1 year,More than once a day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;Add and edit Notes,1 time a month,Wikipedia of maps,1 time a month,1 time a week,Yes,More than once a day,Google Maps;Yanosik;OSMAnd;Organic Maps,.OSM / .PBF,Overpass Turbo,2,3,4,4,3,2,1,3,4,2,3,4,3,1,4,Neutral - Neither imprecise nor precise,Clear,Very clear,Clear,Simple,Very Simple,Very Simple,Complicated,Strongly agree,More or less agree,Strongly agree
"Español (España, alfabetización internacional)",25-34 years old,Undergraduate or Bachelor's degree,Argentina,I have little or no experience with GIS,Basic,Yes,1 to 5 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,To upload GPS traces;To edit,More than once a day,Geographic database,2 times per week,2 times per week,Yes,2 times per week,Google Maps;Maps.me;Waze,.OSM / .PBF;GeoJSON / JSON / XML,APIs and/or Plugins,3,2,2,2,2,2,2,2,2,2,,2,2,2,2,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Complicated,Complicated,Strongly agree,Strongly disagree,More or less agree
Italiano,18-24 years old,Undergraduate or Bachelor's degree,Italy,I have little or no experience with GIS,Intermediary,Yes,1 to 5 years,1 time per day,I don't remember,lavori personali;I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,4,2,2,4,3,2,2,2,4,4,3,3,2,5,3,Neutral - Neither imprecise nor precise,Clear,Clear,Clear,Simple,Neutral - Neither complicated nor simple,Complicated,Complicated,More or less agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Nepal,Working with GIS,Advanced,Yes,5 to 10 years,1 time a week,Other,I use it for work;I use it academically (school or college),Humanitarian;Corporate (work);YouthMappers,To see the rendered data;To check the history of edits and comments;To edit,More than once a day,Geographic database,1 time a month,1 time a month,Yes,1 time a week,Organic Maps;OSMAnd,GeoJSON / JSON / XML;.OSM / .PBF;Shapefile,Overpass Turbo;GeoFabrik;HOT Export Tool,5,2,,5,4,5,2,5,3,2,3,5,4,4,4,Very imprecise,Confusing,Clear,Clear,Complicated,Complicated,Neutral - Neither complicated nor simple,Very complicated,More or less disagree,More or less disagree,More or less disagree
